reviewId,app_name,content,sentiment_polarity,sentiment
01e23c15-44bf-46b7-b280-40e880d9d49b,Shopee,app shope razoá apes fácil utiliz apresent algum bug exempl sugest palavr err camp pesquis acarret busc err sugest produt têm nad ver cois inter dificuldad acess algum jog trav dur algum jog falh carreg cert anex avali produt geral problem pod contorn poi ocorr tant frequ,positive,sadness
df40ba7c-075d-48dc-b798-21466dfb41d6,Shopee,app bem otimiz fácil visual produt ped rastrei interfac intui porém exist incômod ach princip má recomend produt vez aparec um produt dev aparec nad ver pesquis ent brinqued sex incomod pouc porém atrapalh complet utiliz app geral app bom loj geral faz bom trabalh,positive,sadness
59490b23-b17b-4bba-855b-b5053dadc0db,Shopee,app bom prát fácil entend porém algum vend mand produt apes bem semelh anúnci aind lá diferenç celul frac vez app fech so tr cheg abr vez pod lev otimiz disposi frac app ótim excel produt simpl us,positive,sadness
48fd8168-1e42-4475-9a99-935c2fd48769,Shopee,aplic bom alg chate bast fat pesquis produt coloc cep aparec fret grátil bem barat acim fret gratuit compr produt val alt coloq carr fech ped aparec val alt fret deu vontad desist compr precis acab compr ach dev inform val corret fret moment pesquis coloc cep,positive,sadness
f4e1468b-6d97-4f1a-927d-1afee2bfbe75,Shopee,app bom porém tid dificuldad pag cart crédit após faz compr pix alter mei pag porém cheg part coloc códig cart tr sai daquel áre deix faz muit compr cont diss pud concert bug sér ótim consum,negative,disgust
2ce2db50-eec3-4cf5-afd6-b153ca01cf0f,Shopee,bom app porém fic trav pouc hor conclu compr aí precis sair entr nov precis melhor plataform bom pass diz melhor final compr sup rápid ador opç parcel,positive,happiness
404d8ede-bf3e-4652-a410-ec1ad12e40df,Shopee,gost bast app acredit decorr atual app par trav dur inici nest moment inici app muit agil quant produt consig encontr excel preç qual,positive,happiness
0d7c4353-a8f6-467c-abd7-c65b26fd4976,Shopee,ador tud pens promoç fret difer dess app pesso colabor sent avali produt fot víde além coment facilit identific qual hor escolh compr fiz vár compr grand maior fiq satisfeit,positive,happiness
5410fc9e-d51f-4f6f-9fdc-01b93eed8750,Shopee,app bom algum mercad real qual preç just cheg praz vez ant agor peg tent rastr ped fiz sei faz sit correi aceit pq númer rastre padr vez marc cheg dat agor mud radic alguém saib sobr rastre gost compr muit cois qual,positive,sadness
31458c8f-8f11-496f-b72e-dacc9470a52f,Shopee,problem inic consegu envi mens chat tir dúv sobr produt vend abr ajud fiz tod pass orient atend desistal reinstal app funcion porém funcion soment naquel dia dia seguint volt problem terç tent reclam produt receb consig poi chat vai hoj reinstal vez app reconhec códig whatsapp sm,negative,anger
980c8f5e-71ec-4a51-8f37-00592e7905d1,Shopee,mim melhor shopping onlin surg respeit client consum tod aspect temp entreg excel vári benefíci infin loj produt aind sit sup fácil entend complic tr tud func bem,positive,happiness
fbd2a876-9f0f-4abe-82f9-f4b17fd8971e,Shopee,serviç varej bom sistem fret ótim func bem muit produt bom recom compr sempr iníci setembr poi dat aniversári shope muit promoç ótim aplic problem nenhum compr ate agor,positive,happiness
d53d8ea8-0586-4b4f-bafa-2a110d80d5a3,Shopee,compr med receb produt entreg rápid gost algum vez aparec app entreg ter sid fat outr dia doi dia vem entreg fic dúv algum vi receb repass err precis corrig rápid,positive,sadness
d52df159-2657-462b-a165-de72f0f5c262,Shopee,app bom recom sempr compr nunc deu nenhum problem únic defeit vc têm opç compr qualqu cois cor difer mesm loj vc têm coloc cad vez carr shope pod coloc opç quant vari fic melhor faz compr ajud client compr dou estrel motiv chat dev ter resolv temp,positive,sadness
c4a26416-86f6-4d88-8a33-5bdfdf26af5c,Shopee,aplic bom fácil us tud tip produt asiá fez muit falt q pod arrum opç hor compr exempl quer compr másc fac vári opç poss escolh compr cas tip específ poss compr doi difer doi igual pod arrum quer faz dua compr escolh outr tip,positive,sadness
7fa37459-3d10-4a60-895d-ff19fbd0a429,Shopee,grand variedad produt vend atenci únic problem sid entreg princip feit transport compr nacion demor entreg maior vez retorn suport shope rápid reembols necess sup rápid,positive,sadness
ad73e357-79b9-4084-b391-24be9da1c4b8,Shopee,algum fret tão car cupom fret grátil ajud cas fret acim r dev cupom fret gratil r menos r geral r resolv ajud vez algum produt vem problem sempr perceb prim moment geral produt bom maior entreg rápid algum demor bast enfim val pen vou continu compr,positive,sadness
d0ee0189-2ce1-4f63-b1f4-e286b8a2ff26,Shopee,tô gost compr shope sint q ultim esforç melhor cad vez atend cois q acontec demor vir falt it acontec melhor relaç cupom fret facilit demal esquem fret grátil part compr frequ agor caus diss lov shope,positive,happiness
9fbaece5-0d55-4cda-98c7-86abf75314ef,Shopee,princípi funcion tud bem menos um mes consig efetu compr nenhum cart crédit porqu simples aparec hor escolh form pag entr contat através chat der vár orient tent resolv apag cach atual vers desinstal instal nov tent us cont outr aparelh outr cois simples consig ninguém resolv desist,negative,anger
2854eefb-e6d9-48ca-82e9-07abfda0c500,Shopee,long melhor app compr nacion internac algum detalh precis mud necess opin cri bot volt págin inc vár vez naveg produt sequ tent acess págin volt tod produt fech app abr nov cans,positive,sadness
647d346d-525f-46ef-a3bc-7e31638ae2ca,Shopee,vou ter corrig classific shope ótim sit compr polít reembols vend env mercad avari divers ped exist opç vc faz devoluç inclusiv acontec compr produt loj ban ness cas shope dev faz reembols ent cuid compr cois alt val aind bem prejuíz pequen,negative,fear
b50174f8-2d05-4e39-b693-4402a295838e,Shopee,cancel dua compr statu cancel falt pag send compr feit hor através cart crédit question chat robô ninguém respond alg plaus dess vez motiv vend inat dia reembols caiu apen part dess vez robô registr reembols pod feit doi cicl compr nunc problem aliexpres amazon merc livr recom,negative,anger
8412d72d-0799-4b24-a032-2fe1efc8e40d,Shopee,experi melhor shope ant consegu compr boa cart crédit agor consig sempr dá falh pag cont entr contat vár vez suport shope solic err nad resolv parec faz propósit migr mo sparcel,negative,disgust
04d4dd98-c676-461a-a2e2-d841f74313d1,Shopee,di tod compr fiz app ultim deix desej val pen dev promoç compr val min tod loj func descont fret lembr nao exist fret gratil alguém sobr pag cont ja entreg cheg meg rap assim der muit dor cabeç dem correi problem transport nao canal atend dev prest muit atenç descr,negative,fear
2a278f67-43d2-418e-970a-09460cd193d3,Shopee,plataform total segur lá venden demor empacot ped própr chope notif avis irá devolv dinh aplic bom bem feit princip cupom fret grátil destac plataform merec tod estrel espaç nunc nenhum tip problem recom shope,positive,happiness
2d0a2e53-cbcd-48bd-9e8f-bfeeb69fd1c2,Shopee,moment experi shope sid boa pod melhor part avali ond tod trabalh tir fot grav víde app shope salv inform esbarr ded quer tecl volt trav hor conclu avali começ tud nov revis equip ti mai urg poup temp precis refaz tud fic dic,positive,sadness
e34748a2-10c5-4093-9577-a8e8568e70e4,Shopee,dess últ atual tend problem compr cart crédit algum vez diz pag falh porém segund tent pag conclu porém outr vez pag simples vai acarret cancel compr,negative,disgust
da50e5f5-259a-495a-aa38-9c5f6fd393e2,Shopee,mê atrás um probl resolv gost produt demal ame porém abert cart chopppey cad vê produt compr pag cancel chopp reembols vai diret maldit cart chopppey inclusiv bloque quas mê tent desbloqu consig infeliz chopp facilit nad problem vou fech aplic chopp mim cheg,negative,anger
adf288be-a573-44c8-b38d-42a5e8b171f6,Shopee,app bom pass ruim vend vend alg defeit consegu troc ter dinh volt porqu const cont compr fiq muit raiv hoj dou estrel porqu continu compr problem hoj dia tir print tud entreg rápid mercad condiz anúnci aconselh sempr ler bem descr,positive,sadness
35dd28aa-4a77-4164-a908-2ef9fa40fe6e,Shopee,gost aplic melhor gost loj it informá eletroeletrôn aliexpres gost melhor busc produt assim gost ach produt internac bom ter bot fiz sistem procur mim produt fornec nacion prefir precis pag tax import resum ach melhor shope concorr,positive,sadness
51d82b88-d538-4e01-b6a2-00ba215a1a11,Shopee,uso mes ent tud corr relativ bem nunc problem últ compr faç tod vez tir dad cart cadastr log segu venh tent tir dad cart crédit sucess fal suport nad consegu ajud pen mim shope enquant resolv compr nad,negative,anger
e182a7de-699d-4f37-87fa-613a87135aa0,Shopee,amo app real variedad produt mim doi únic problem q maior fret sa pes ent sempr compens us cupom fret sair absurd car segund problem q fiz compr q pag cad objet,positive,sadness
13918738-c5ea-4676-91cd-5581f3b9e0f1,Shopee,ruim pior desd nenhum cupom selecion aparec final compr tod dentr regr cupom fidel ganh sub nível func chat envi print dá err inútel diz nad pod faz garot rec pass rec pod faz algum cois faç aliás cham atend aliexpres amazon merc livr sempr frent shope últ cas,negative,anger
0cf77671-ed83-465b-898d-58562cca059a,Shopee,shope dand moed val compr vez avali conform vc proc produt vai abr app fic cad vez lent pont trav ter q fech bonific q quas exist fret grátil ent quas aument val mín alt deix melhor igual qualqu outr app,negative,anger
f1b56b19-5568-41ea-83b0-a9793c230a24,Shopee,gost app prát fácil us nunc problem compr fiz atualiz ultim serviç rastre logís horr,positive,sadness
12372a7c-3045-4daa-b885-f01ea628dd15,Shopee,app bom porém ultim est lent algum cupom receb engan exempl diz vc compr acim pag fret ment tud compr aqu cheg cert,positive,sadness
